Symbol,Name,,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio(TTM),52 WkChange %,52 Wk Range
NVO,Novo Nordisk A/S,,,+2.59,+5.00%,12.077M,14.432M,234.945B,13.88,-61.25%,
RUN,Sunrun Inc.,,,+1.09,+7.80%,17.752M,24.218M,3.462B,--,-31.29%,
PLTR,Palantir Technologies Inc.,,,-3.58,-2.02%,11.902M,73.009M,411.814B,578.63,+445.14%,
BTAI,"BioXcel Therapeutics, Inc.",,,+0.91,+16.70%,22.992M,7.576M,93.09M,--,-51.76%,
PPCB,"Propanc Biopharma, Inc. Common Stock",,,+5.18,+180.49%,32.775M,"10,072",93.475M,--,"+239,066.67%",
FSLR,"First Solar, Inc.",,,+13.49,+6.75%,2.266M,4.116M,22.891B,18.24,-12.45%,
VTAK,"Catheter Precision, Inc.",,,+1.2200,+46.74%,35.229M,"778,386",4.697M,0.11,-93.78%,
SNGX,"Soligenix, Inc.",,,+1.1651,+41.98%,44.964M,8.065M,12.878M,--,-46.33%,
PANW,"Palo Alto Networks, Inc.",,,-1.50,-0.85%,1.736M,7.167M,117.283B,100.91,+3.15%,
NOVO-B.CO,Novo Nordisk A/S,,,+21.50,+6.60%,7.535M,6.703M,1.544T,13.92,-64.38%,
NIO,NIO Inc.,,,+0.0750,+1.56%,10.063M,50.607M,10.429B,--,+18.18%,
ENPH,"Enphase Energy, Inc.",,,+1.35,+3.86%,3.933M,9.266M,4.731B,28.05,-70.90%,
DAY,Dayforce Inc,,,+13.80,+26.11%,2.964M,1.843M,10.649B,222.28,-4.84%,
ADAP,Adaptimmune Therapeutics plc,,,+0.0117,+19.80%,388.075M,18.89M,18.872M,--,-94.64%,
SEDG,"SolarEdge Technologies, Inc.",,,0.00,0.00%,2.357M,5.687M,1.785B,--,+9.19%,
TSLA,"Tesla, Inc.",,,+1.31,+0.40%,10.448M,102.887M,1.07T,196.37,+48.42%,
WMT,Walmart Inc.,,,+0.24,+0.24%,1.218M,15.512M,799.957B,42.84,+35.65%,
FNMA,Federal National Mortgage Association,,,+0.27,+2.41%,"221,443",9.253M,13.272B,--,+781.89%,
IQ,"iQIYI, Inc.",,,+0.4000,+20.10%,38.1M,19.654M,2.301B,59.75,-39.88%,
DHAI,"DIH Holding US, Inc.",,,+0.0621,+25.94%,82.478M,3.889M,14.272M,--,-90.22%,
NXT,Nextracker Inc.,,,+5.23,+8.63%,1.602M,2.503M,9.989B,17.93,+50.40%,
SHCO,Soho House & Co Inc.,,,+1.20,+15.64%,6.353M,"246,501",1.724B,--,+34.98%,
ASBP,"Aspire Biopharma Holdings, Inc.",,,+0.4487,+124.12%,186.091M,15.02M,40.002M,--,-96.80%,
MSTR,Strategy Inc,,,-6.67,-1.82%,1.767M,11.78M,101.98B,25.24,+170.65%,
ENLV,Enlivex Therapeutics Ltd.,,,-0.4699,-25.68%,6.2M,"238,751",32.2M,--,+44.44%,
